event_date,Cust_Hash,event_name
2021-08-30,295fc49fa5c787e5bccafe164f072b4b,app_remove
2021-08-30,1905b360694f2623623371046918035c,app_remove
2021-08-30,80bd72c9635adf790dc98236793698f9,app_remove
2021-08-30,42619dd95d905866b67bdf621e8ada0a,app_remove
2021-08-30,cbec269552585e85ce1e4b892579049c,app_remove
2021-08-30,e3f63aa40254553178bd086d0fba9858,app_remove
2021-08-30,009f4ebbccbdb15b9a63b3a6a118ecf1,app_remove
2021-08-30,60e696bd60026f0759a4b2c1e947179d,app_remove
2021-08-30,0623bcfb8ad2f90a2fa55aaeb95e47b4,app_remove
2021-08-30,93ea55f6508ede905eff92448ef10ce4,app_remove
2021-08-30,1799c773d4e12250ed8fbd900038bd7e,app_remove
2021-08-30,3c2188b648d236d2f0ee8b8f24296399,app_remove
2021-08-30,c90a004409f9bfe4699d57fa00f73712,app_remove
2021-08-30,e1294728edc9be5d62f473199e60a681,app_remove
2021-08-30,be118bb556428624f068d7db489af05a,app_remove
2021-08-30,4c2d4a24ee04928bf9f1f5f74b4044fe,app_remove
2021-08-30,2fd13b6e9ae2cb28701479590cca2182,app_remove
2021-08-30,f610ce613280e07afae9573e28c197fc,app_remove
2021-08-30,baa93234bf5d92a33bb9e979634643c4,app_remove
2021-08-30,046779ac0c1dda2eafed2af16e7ec24d,app_remove
2021-08-30,e8b0e812d4bf25bcd4c9191f68c05455,app_remove
2021-08-30,ed3ac4d92f94b8604db64b01238e3492,app_remove
2021-08-30,891dc20e8c60aabe57a38d93ef6e3fd5,app_remove
2021-08-30,3ae9161b07724cfac33c555d4eb678d9,app_remove
2021-08-30,8ca39d5829144582e289d2d3c583ba19,app_remove
2021-08-30,5d54cee1b1a045e9cff9c5304e33c158,app_remove
2021-08-30,8a60294f32b9681b73f0cbfe640a6dd6,app_remove
2021-08-30,34a5c231d3e05fffc18316b7077c7fe0,app_remove
2021-08-30,6303d599976715593d6788dabe52fd68,app_remove
2021-08-30,66449620d33fc2391216c70b0d6c3618,app_remove
